0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:13 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:13 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:14 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:14 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:14 +0000] "GET /BTS/Controle/List?classeId=25 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:16:14 +0000] "GET /BTS/ControleNote/List?controleId=25 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:12 +0000] "GET /BTS/E.Professeur/Controle?id=25 HTTP/1.1" 200 53421
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:13 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:13 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:13 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:13 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:13 +0000] "GET /BTS/ControleNote/List?controleId=25 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:13 +0000] "GET /BTS/Controle/List?classeId=25 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:38 +0000] "GET /BTS/E.Professeur/Controle?id=25 HTTP/1.1" 200 53421
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:39 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:39 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:39 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:39 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:39 +0000] "GET /BTS/Controle/List?classeId=25 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:19:40 +0000] "GET /BTS/ControleNote/List?controleId=25 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:20 +0000] "GET /BTS/E.Professeur/Controle?id=25 HTTP/1.1" 200 53669
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:21 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:21 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:22 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:22 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:22 +0000] "GET /BTS/Controle/List?classeId=25 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:22 +0000] "GET /BTS/ControleNote/List?controleId=25 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:26 +0000] "POST /BTS/ControleNote/Add HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:21:26 +0000] "GET /BTS/ControleNote/List?controleId=25 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:29 +0000] "GET /BTS/E.Professeur/Controle?id=25 HTTP/1.1" 200 54081
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:29 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:29 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:30 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:30 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:30 +0000] "GET /BTS/Controle/List?classeId=25 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:23:30 +0000] "GET /BTS/ControleNote/List?controleId=25 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:23 +0000] "GET /BTS/E.Professeur/Classes HTTP/1.1" 200 42823
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:24 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:24 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:24 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:24 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:24 +0000] "GET /BTS/Classe/List HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:28 +0000] "GET /BTS/E.Professeur/ClasseDetails?id=1 HTTP/1.1" 200 62995
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/Classe/Details?id=1 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/Scolarite/List?classeId=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:29 +0000] "GET /BTS/Controle/List?classeId=1 HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/E.Professeur/Controle?id=18 HTTP/1.1" 200 54081
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/css/bootstap.min.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/Document/Download?file= HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/images/sort_both.png HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/images/sort_asc.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/ControleNote/List?controleId=18 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:35 +0000] "GET /BTS/Controle/List?classeId=18 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Apr/2023:16:24:44 +0000] "GET /BTS/Controle/Delete?id=18 HTTP/1.1" 200 60
